n,Row,Column,Field,Mean/s.d.,%SatPix,MaxCountRatio,Area,Circ.,AR,Solidity,Round,Mean-Cy3,IntDen-Cy3,Mean-FITC,IntDen-FITC,Mean-TL-Brightfield,IntDen-TL-Brightfield
147,B,04,002,0.7877,0.0001907,0.6174,88.0269,0.9706,1.1504,0.9938,0.8693,204.7278,18021.552,275.6765,24266.9425,1945.3981,171247.32
148,B,04,002,0.7877,0.0001907,0.6174,104.7287,0.9667,1.2009,0.9916,0.8327,948.3346,99317.863,282.3843,29573.7447,1910.8549,200121.368
149,B,04,002,0.7877,0.0001907,0.6174,83.783,0.9534,1.2373,1.0116,0.8082,208.9918,17509.9557,277.8856,23282.082,1870.4951,156715.63
150,B,04,002,0.7877,0.0001907,0.6174,78.5808,0.9528,1.2896,0.9905,0.7754,216.3101,16997.8118,311.1986,24454.2221,1908.8885,150001.904
151,B,04,002,0.7877,0.0001907,0.6174,112.532,0.8632,1.7081,1.0018,0.5855,206.753,23266.3384,270.0998,30394.8726,1924.4757,216565.144
152,B,04,002,0.7877,0.0001907,0.6174,60.0992,0.9761,1.2052,1.0057,0.8297,199.4374,11986.0297,271.8178,16336.0359,1841.2825,110659.64
153,B,04,002,0.7877,0.0001907,0.6174,89.3959,0.9644,1.3447,0.9985,0.7436,226.4273,20241.6638,282.343,25240.3035,1860.4732,166318.637
154,B,04,002,0.7877,0.0001907,0.6174,97.0623,0.9615,1.2012,1.0064,0.8325,356.0846,34562.3907,265.9774,25816.3798,1838.6953,178467.988
155,B,04,002,0.7877,0.0001907,0.6174,102.8121,0.9052,1.531,0.9869,0.6532,209.1478,21502.926,296.1704,30449.9065,1853.3755,190549.438
156,B,04,002,0.7877,0.0001907,0.6174,93.6398,0.9006,1.5725,0.9978,0.6359,255.1813,23895.1214,284.8845,26676.5243,1960.3085,183562.869
157,B,04,002,0.7877,0.0001907,0.6174,107.056,0.8403,1.3475,0.9684,0.7421,197.289,21120.9742,260.5588,27894.3891,1869.8427,200177.908
158,B,04,002,0.7877,0.0001907,0.6174,98.1575,0.9439,1.406,0.9931,0.7112,203.6946,19994.1481,275.7211,27064.0889,1938.6179,190289.875
159,B,04,002,0.7877,0.0001907,0.6174,84.6044,0.8772,1.4589,0.9984,0.6855,201.2832,17029.4358,270.2201,22861.7981,1983.8738,167844.39
160,B,04,002,0.7877,0.0001907,0.6174,48.8734,0.8563,1.8146,0.9821,0.5511,227.1064,11099.4635,342.6863,16748.2426,1810.7171,88495.8964
161,B,04,002,0.7877,0.0001907,0.6174,77.4856,0.8973,1.3337,1.0009,0.7498,204.6926,15860.7181,270.0548,20925.3438,1949.3763,151048.506
162,B,04,002,0.7877,0.0001907,0.6174,91.3125,0.8865,1.6323,0.997,0.6126,199.9835,18260.9906,267.063,24386.1827,1871.7211,170911.504
163,B,04,002,0.7877,0.0001907,0.6174,127.4542,0.9278,1.4649,0.9963,0.6827,2208.1515,281438.077,285.4275,36378.9205,1987.5113,253316.57
