n,Row,Column,Field,Mean/s.d.,%SatPix,MaxCountRatio,Area,Circ.,AR,Solidity,Round,Mean-Cy3,IntDen-Cy3,Mean-FITC,IntDen-FITC,Mean-TL-Brightfield,IntDen-TL-Brightfield
3950,B,09,003,0.9774,0.00009537,0.6667,152.6438,0.9153,1.5783,1.0104,0.6336,204.8735,31272.6771,286.2323,43691.5855,1801.0825,274924.088
3951,B,09,003,0.9774,0.00009537,0.6667,95.6933,0.6779,2.1553,0.9332,0.464,193.2175,18489.6141,256.1502,24511.8571,1901.6838,181978.385
3952,B,09,003,0.9774,0.00009537,0.6667,27.3801,0.8635,1.7519,0.9926,0.5708,200.675,5494.4925,296.535,8119.1445,1678.625,45960.8444
3953,B,09,003,0.9774,0.00009537,0.6667,99.8003,0.8535,1.758,0.9959,0.5688,193.3169,19293.0818,257.9561,25744.0965,1873.0137,186927.33
3954,B,09,003,0.9774,0.00009537,0.6667,113.6272,0.8785,1.2645,0.9817,0.7909,191.3301,21740.3111,246.094,27962.9761,1704.3422,193659.675
3955,B,09,003,0.9774,0.00009537,0.6667,83.6461,0.8196,1.7567,0.9831,0.5692,191.4714,16015.8261,252.5794,21127.2717,1761.3928,147333.581
3956,B,09,003,0.9774,0.00009537,0.6667,92.1339,0.9159,1.4794,1.0015,0.6759,194.4086,17911.6211,266.6999,24572.0932,1742.9227,160582.241
3957,B,09,003,0.9774,0.00009537,0.6667,92.2708,0.8984,1.5753,0.9978,0.6348,192.5994,17771.2983,256.6024,23676.9024,1850.8412,170778.574
3958,B,09,003,0.9774,0.00009537,0.6667,97.1992,0.8708,1.4708,0.9719,0.6799,194.2169,18877.7264,249.562,24257.2226,1847.2169,179547.995
3959,B,09,003,0.9774,0.00009537,0.6667,138.1324,0.8519,1.6197,0.9707,0.6174,196.2101,27102.9686,259.5788,35856.2352,1878.0059,259413.424
3960,B,09,003,0.9774,0.00009537,0.6667,86.7948,0.8975,1.4721,0.9969,0.6793,199.5726,17321.8547,257.7634,22372.5165,1691.9038,146848.406
3961,B,09,003,0.9774,0.00009537,0.6667,85.152,0.895,1.3609,0.9976,0.7348,191.709,16324.3993,256.91,21876.39,1623.9293,138280.776
3962,B,09,003,0.9774,0.00009537,0.6667,75.569,0.8141,1.9109,0.9796,0.5233,206.0163,15568.436,298.8804,22586.081,1812.8678,136996.515
3963,B,09,003,0.9774,0.00009537,0.6667,96.7885,0.8944,1.6238,0.9951,0.6158,202.7525,19624.1066,277.4031,26849.4293,1872.2419,181211.47
3964,B,09,003,0.9774,0.00009537,0.6667,91.0387,0.8488,1.5157,0.9701,0.6598,193.0271,17572.9298,258.4226,23526.449,1783.4075,162359.07
3965,B,09,003,0.9774,0.00009537,0.6667,94.735,0.7841,2.085,0.9631,0.4796,195.3454,18506.0421,258.5607,24494.7446,1871.302,177277.777
3966,B,09,003,0.9774,0.00009537,0.6667,103.3597,0.7995,2.0122,0.9761,0.497,202.2424,20903.7135,271.9987,28113.7033,1885.5735,194892.325
3967,B,09,003,0.9774,0.00009537,0.6667,69.6822,0.9113,1.5981,1.0129,0.6257,192.7741,13432.9287,257.2829,17928.0492,1757.4637,122464.003
3968,B,09,003,0.9774,0.00009537,0.6667,98.4313,0.921,1.4903,1.0014,0.671,190.3102,18732.4752,248.4673,24456.9601,1767.904,174017.087
3969,B,09,003,0.9774,0.00009537,0.6667,126.9066,0.7164,2.4695,0.9748,0.4049,192.8123,24469.1442,253.3927,32157.1898,1652.1942,209674.269
3970,B,09,003,0.9774,0.00009537,0.6667,90.3542,0.8988,1.3088,0.9785,0.764,190.5591,17217.8105,255.6136,23095.7607,1661.1864,150095.133
3971,B,09,003,0.9774,0.00009537,0.6667,132.6564,0.8762,1.7091,1.0016,0.5851,197.1765,26156.7139,254.4066,33748.6555,1850.516,245482.726
3972,B,09,003,0.9774,0.00009537,0.6667,93.366,0.9378,1.4508,0.9927,0.6893,192.9282,18012.9273,271.6657,25364.3351,1715.9326,160209.736
3973,B,09,003,0.9774,0.00009537,0.6667,121.5674,0.8322,1.8071,0.9716,0.5534,193.1678,23482.9147,254.9583,30994.6327,1756.3255,213511.994
3974,B,09,003,0.9774,0.00009537,0.6667,64.0693,0.8092,2.0085,1.0065,0.4979,205.0534,13137.6348,279.2265,17889.854,1829.8526,117237.424
3975,B,09,003,0.9774,0.00009537,0.6667,28.886,0.9616,1.2019,1.0048,0.832,199.5024,5762.817,256.6588,7413.8343,1748.3649,50503.1955
3976,B,09,003,0.9774,0.00009537,0.6667,99.6634,0.7865,1.9494,0.9959,0.513,191.0426,19039.9532,318.0975,31702.6809,1907.1319,190071.245
3977,B,09,003,0.9774,0.00009537,0.6667,79.8129,0.8669,1.4596,0.994,0.6851,195.0309,15565.9718,266.6312,21280.6,1828.4648,145935.007
3978,B,09,003,0.9774,0.00009537,0.6667,114.9962,0.9587,1.2435,0.9988,0.8042,201.5357,23175.8474,266.0905,30599.4016,1770.95,203652.574
3979,B,09,003,0.9774,0.00009537,0.6667,48.3258,0.9445,1.3181,1.0028,0.7587,190.6232,9212.0194,255.0737,12326.6376,1838.2946,88837.0519
3980,B,09,003,0.9774,0.00009537,0.6667,104.8656,0.8981,1.4458,0.9903,0.6917,192.8695,20225.3727,259.8916,27253.6958,1722.4243,180623.073
3981,B,09,003,0.9774,0.00009537,0.6667,115.9545,0.9025,1.4809,0.9901,0.6753,197.6529,22918.7486,255.5478,29631.9274,1940.9882,225066.377
3982,B,09,003,0.9774,0.00009537,0.6667,68.3132,0.9331,1.2819,0.996,0.7801,203.1283,13876.3487,287.2244,19621.2317,1828.2966,124896.858
3983,B,09,003,0.9774,0.00009537,0.6667,82.1402,0.8797,1.7208,0.9926,0.5811,192.6167,15821.5646,261.8633,21509.4972,1783.8733,146527.649
3984,B,09,003,0.9774,0.00009537,0.6667,44.4926,0.9444,1.3427,1.0078,0.7448,194.4862,8653.1925,257.3446,11449.9282,1758.9692,78261.095
3985,B,09,003,0.9774,0.00009537,0.6667,130.1922,0.7527,2.2592,0.9582,0.4426,201.5973,26246.3836,256.021,33331.9311,1830.9474,238375.001
3986,B,09,003,0.9774,0.00009537,0.6667,107.8774,0.7505,1.7401,0.9415,0.5747,190.6396,20565.7067,249.0381,26865.5835,1892.967,204208.389
3987,B,09,003,0.9774,0.00009537,0.6667,103.7704,0.9012,1.2451,0.9724,0.8032,194.5739,20191.0107,250.2876,25972.4461,1770.9591,183773.148
3988,B,09,003,0.9774,0.00009537,0.6667,88.1638,0.9495,1.1792,1.0023,0.8481,192.0388,16930.8676,259.1848,22850.7092,1781.3121,157047.203
3989,B,09,003,0.9774,0.00009537,0.6667,79.676,0.8902,1.4375,0.9765,0.6956,191.268,15239.4647,252.799,20142.0004,1863.7663,148497.37
3990,B,09,003,0.9774,0.00009537,0.6667,103.2228,0.8333,1.857,0.9987,0.5385,195.1485,20143.7801,256.9801,26526.2078,1865.3528,192546.949
3991,B,09,003,0.9774,0.00009537,0.6667,63.9324,0.9488,1.2727,0.9968,0.7857,197.9443,12655.0613,276.6938,17689.7058,1750.8929,111938.836
3992,B,09,003,0.9774,0.00009537,0.6667,161.6792,0.8975,1.5923,1.0017,0.628,194.9323,31516.4965,266.6325,43108.9379,1785.0703,288608.776
3993,B,09,003,0.9774,0.00009537,0.6667,71.5988,0.6759,2.5195,0.9785,0.3969,189.956,13600.6315,249.327,17851.5219,1855.8662,132877.87
3994,B,09,003,0.9774,0.00009537,0.6667,102.1276,0.8417,1.7235,0.9881,0.5802,203.5509,20788.1697,269.4424,27517.5026,1803.1823,184154.689
3995,B,09,003,0.9774,0.00009537,0.6667,91.0387,0.7694,2.3185,0.9903,0.4313,191.4316,17427.6787,250.9263,22844.0011,1858.815,169224.071
3996,B,09,003,0.9774,0.00009537,0.6667,73.6523,0.7949,1.9587,0.9826,0.5105,200.2193,14746.6237,281.0074,20696.8572,1785.8383,131531.182
3997,B,09,003,0.9774,0.00009537,0.6667,117.3235,0.8503,1.5954,0.98,0.6268,199.1237,23361.8948,264.3384,31013.1142,1813.3874,212753.019
3998,B,09,003,0.9774,0.00009537,0.6667,118.4187,0.6999,2.3078,0.983,0.4333,187.4913,22202.4864,240.2301,28447.74,1773.3272,209995.163
3999,B,09,003,0.9774,0.00009537,0.6667,80.9081,0.8495,1.2583,0.9712,0.7947,188.6447,15262.8746,246.4129,19936.7869,1749.7157,141566.109
4000,B,09,003,0.9774,0.00009537,0.6667,38.6059,0.9568,1.1395,0.9947,0.8776,191.8936,7408.2214,256.5638,9904.8717,1736.3191,67032.1239
4001,B,09,003,0.9774,0.00009537,0.6667,90.4911,0.8506,1.7247,0.9742,0.5798,199.4493,18048.3845,265.584,24032.98,1749.4115,158306.138
4002,B,09,003,0.9774,0.00009537,0.6667,43.945,0.9788,1.0955,0.9892,0.9128,193.0779,8484.8052,262.296,11526.5924,1768.1153,77699.8039
4003,B,09,003,0.9774,0.00009537,0.6667,90.4911,0.786,1.8719,0.9764,0.5342,196.643,17794.4345,270.8033,24505.2859,1746.354,158029.462
4004,B,09,003,0.9774,0.00009537,0.6667,105.0025,0.9144,1.2713,0.9935,0.7866,195.4563,20523.4045,255.2764,26804.6629,1639.9883,172202.884
4005,B,09,003,0.9774,0.00009537,0.6667,58.4564,0.7908,2.1598,1.0047,0.463,210.5504,12308.0191,288.8759,16886.6488,1800.6956,105262.21
4006,B,09,003,0.9774,0.00009537,0.6667,101.1693,0.7525,2.3589,0.9847,0.4239,195.4533,19773.8755,259.253,26228.4497,1763.9134,178453.888
4007,B,09,003,0.9774,0.00009537,0.6667,148.263,0.8693,1.5188,0.961,0.6584,193.1958,28643.7812,246.8393,36597.1395,1727.1311,256069.635
4008,B,09,003,0.9774,0.00009537,0.6667,102.949,0.8068,2.0547,0.9862,0.4867,196.609,20240.7055,256.3657,26392.5931,1764.0306,181605.195
4009,B,09,003,0.9774,0.00009537,0.6667,80.7712,0.7552,2.2209,0.9688,0.4503,192.5,15548.4486,260.4203,21034.4533,1827.5085,147609.982
4010,B,09,003,0.9774,0.00009537,0.6667,74.6106,0.9168,1.4704,0.9954,0.6801,201.567,15039.0427,277.9798,20740.2546,1847.5945,137850.225
4011,B,09,003,0.9774,0.00009537,0.6667,82.2771,0.7403,1.7925,0.9325,0.5579,195.228,16062.7829,273.5474,22506.6788,1876.6489,154405.164
4012,B,09,003,0.9774,0.00009537,0.6667,65.5752,0.827,1.7636,0.9746,0.567,205.1065,13449.9043,281.3111,18447.0381,1775.6305,116437.379
4013,B,09,003,0.9774,0.00009537,0.6667,100.8955,0.6967,2.403,0.9383,0.4162,189.886,19158.6457,251.6336,25388.7034,1719.8399,173524.109
4014,B,09,003,0.9774,0.00009537,0.6667,80.7712,0.7728,1.4918,0.9601,0.6703,198.5678,16038.5516,266.0712,21490.8788,1739.4831,140500.066
4015,B,09,003,0.9774,0.00009537,0.6667,105.4132,0.8938,1.6431,1.0059,0.6086,201.2078,21209.9594,264.1948,27849.6227,1726.8571,182033.556
4016,B,09,003,0.9774,0.00009537,0.6667,60.5099,0.9216,1.3857,1.0011,0.7216,225.9796,13674.01,376.0045,22752.0041,1641.1244,99304.3099
4017,B,09,003,0.9774,0.00009537,0.6667,27.1063,0.7592,1.4268,0.8959,0.7009,206.1313,5587.4478,294.1818,7974.1671,1729.6566,46884.5106
4018,B,09,003,0.9774,0.00009537,0.6667,102.2645,0.9496,1.1152,0.992,0.8967,194.573,19897.9072,255.4311,26121.5305,1837.3548,187896.173
4019,B,09,003,0.9774,0.00009537,0.6667,65.4383,0.8319,1.7105,1.0031,0.5846,193.0105,12630.2824,260.7699,17064.3453,1788.0105,117004.42
4020,B,09,003,0.9774,0.00009537,0.6667,84.8782,0.8471,1.8929,0.9912,0.5283,195.0758,16557.6774,269.1677,22846.4653,1767.8629,150052.968
4021,B,09,003,0.9774,0.00009537,0.6667,42.7129,0.9545,1.1336,0.9811,0.8821,197.5449,8437.7115,275.8878,11783.9649,1765.9071,75426.9856
4022,B,09,003,0.9774,0.00009537,0.6667,64.6169,0.8619,1.6893,0.9885,0.592,197.9216,12789.0867,268.9174,17376.6149,1788.8538,115590.24
4023,B,09,003,0.9774,0.00009537,0.6667,60.2361,0.8318,1.8731,0.9899,0.5339,195.8818,11799.1608,267.9409,16139.7209,1786.8455,107632.638
4024,B,09,003,0.9774,0.00009537,0.6667,31.624,0.7906,1.7861,0.9565,0.5599,202.8615,6415.2837,262.71,8307.93,1890,59769.2905
4025,B,09,003,0.9774,0.00009537,0.6667,65.4383,0.8483,1.6736,0.9856,0.5975,205.1799,13426.6313,293.9874,19238.0479,1756.6276,114950.779
4026,B,09,004,0.9881,0.0001907,0.408,70.5036,0.9693,1.2337,1.0068,0.8106,198.9612,14027.4866,276.6175,19502.5392,1895.2854,133624.524
4027,B,09,004,0.9881,0.0001907,0.408,111.5737,0.9131,1.4011,0.9743,0.7137,189.1804,21107.558,248.0074,27671.1047,1837.1067,204972.84
4028,B,09,004,0.9881,0.0001907,0.408,125.2638,0.951,1.2607,0.9935,0.7932,191.8055,24026.2719,256.7235,32158.1481,1750.3322,219253.181
4029,B,09,004,0.9881,0.0001907,0.408,83.5092,0.9146,1.2173,1.0049,0.8215,195.9902,16366.9753,271.3607,22661.1023,1902.8279,158903.57
4030,B,09,004,0.9881,0.0001907,0.408,89.9435,0.9224,1.2902,0.9955,0.7751,192.7078,17332.8068,259.5632,23346.0144,1892.7078,170236.723
4031,B,09,004,0.9881,0.0001907,0.408,105.4132,0.9593,1.2191,1.0072,0.8203,196.2182,20683.9886,273.7831,28860.3574,1783.4091,187994.878
4032,B,09,004,0.9881,0.0001907,0.408,92.5446,0.9055,1.1009,0.9898,0.9084,190.3107,17612.2202,251.8817,23310.2834,1848.4453,171063.6
4033,B,09,004,0.9881,0.0001907,0.408,82.0033,0.9565,1.343,1.011,0.7446,189.0568,15503.2715,254.7045,20886.601,1709.2387,140163.155
4034,B,09,004,0.9881,0.0001907,0.408,123.6209,0.9064,1.3577,0.9805,0.7366,192.825,23837.2126,249.9225,30895.6538,1818.1506,224761.501
4035,B,09,004,0.9881,0.0001907,0.408,77.7594,0.9587,1.1948,0.9844,0.837,193.2465,15026.7217,266.8521,20750.2483,1824.9771,141909.044
4036,B,09,004,0.9881,0.0001907,0.408,81.7295,0.9328,1.3202,1.0076,0.7575,190.876,15600.1969,254.4874,20799.1217,1789.6935,146270.687
4037,B,09,004,0.9881,0.0001907,0.408,128.4125,0.9047,1.5461,0.9963,0.6468,193.5394,24852.8757,249.0245,31977.8505,1783.5373,229028.408
4038,B,09,004,0.9881,0.0001907,0.408,119.377,0.9522,1.3092,0.9909,0.7638,195.2775,23311.6524,262.9622,31391.6435,1938.8773,231457.43
4039,B,09,004,0.9881,0.0001907,0.408,117.8711,0.8992,1.345,1.0029,0.7435,195.4344,23036.0722,252.1707,29723.6505,1887.3577,222464.998
4040,B,09,004,0.9881,0.0001907,0.408,32.8561,0.8779,1.2799,0.9697,0.7813,197.3333,6483.597,253.6625,8334.3518,1684.3917,55342.4833
4041,B,09,004,0.9881,0.0001907,0.408,81.045,0.8861,1.5614,0.9883,0.6404,196.9071,15958.328,271.0963,21970.988,1856.7128,150477.222
4042,B,09,004,0.9881,0.0001907,0.408,85.8365,0.7841,1.7049,0.9774,0.5865,191.303,16420.7771,254.8341,21874.0626,1819.303,156162.553
4043,B,09,004,0.9881,0.0001907,0.408,59.1409,0.966,1.14,0.9908,0.8772,194.8171,11521.6639,264.9815,15671.2481,1741.044,102966.94
4044,B,09,004,0.9881,0.0001907,0.408,103.7704,0.882,1.669,1.0013,0.5992,196.4063,20381.1652,255.8681,26551.5343,1859.8232,192994.613
4045,B,09,004,0.9881,0.0001907,0.408,83.5092,0.8877,1.5338,0.9911,0.652,192.5508,16079.7586,253.7885,21193.6683,1909.3098,159444.874
4046,B,09,004,0.9881,0.0001907,0.408,80.4974,0.9605,1.2519,0.9983,0.7988,196.0153,15778.7149,267.5187,21534.55,1892.4932,152340.708
4047,B,09,004,0.9881,0.0001907,0.408,47.6413,0.9635,1.1868,0.9915,0.8426,204.0862,9722.9312,281.3247,13402.6737,1792.6638,85404.8251
4048,B,09,004,0.9881,0.0001907,0.408,87.3424,0.9279,1.3103,0.9945,0.7632,194.4248,16981.5207,267.0345,23323.4258,1823.1348,159236.922
4049,B,09,004,0.9881,0.0001907,0.408,155.7925,0.8233,1.8198,0.9535,0.5495,191.7091,29866.8482,252.7039,39369.37,1890.7302,294561.611
4050,B,09,004,0.9881,0.0001907,0.408,115.1331,0.95,1.3032,0.9894,0.7673,191.6147,22061.2053,250.6825,28861.8633,1929.321,222128.771
4051,B,09,004,0.9881,0.0001907,0.408,97.7468,0.8401,1.8777,1.0056,0.5326,192.5714,18823.24,257.2563,25145.9792,1935.2773,189167.156
4052,B,09,004,0.9881,0.0001907,0.408,40.1118,0.8907,1.7393,0.9949,0.5749,206.1024,8267.1337,309.587,12418.0869,1807.6587,72508.4086
4053,B,09,004,0.9881,0.0001907,0.408,82.9616,0.8725,1.6414,1.0025,0.6092,191.8515,15916.2996,253.8465,21059.506,1745.8399,144837.615
4054,B,09,004,0.9881,0.0001907,0.408,126.4959,0.9259,1.2082,0.9941,0.8277,197.3041,24958.152,273.6082,34610.3058,1801.079,227829.025
4055,B,09,004,0.9881,0.0001907,0.408,85.9734,0.9515,1.3556,1.0048,0.7377,194.8471,16751.6651,277.8599,23888.5502,1818.7643,156365.302
4056,B,09,004,0.9881,0.0001907,0.408,97.1992,0.8602,1.7012,0.9875,0.5878,191.4718,18610.9077,256.1915,24901.6122,1764.3577,171494.152
4057,B,09,004,0.9881,0.0001907,0.408,82.2771,0.9054,1.3459,0.9844,0.743,194.3095,15987.214,266.2646,21907.4663,1895.218,155932.971
4058,B,09,004,0.9881,0.0001907,0.408,87.3424,0.9767,1.147,0.9922,0.8718,194.5799,16995.0738,269.6536,23552.1862,1879.5752,164166.564
4059,B,09,004,0.9881,0.0001907,0.408,79.9498,0.9612,1.1652,1,0.8582,196.7877,15733.1271,274.6627,21959.2146,1904.4298,152258.705
4060,B,09,004,0.9881,0.0001907,0.408,63.7955,0.9073,1.5092,0.9936,0.6626,194.5536,12411.6526,265.8648,16960.9856,1786.3991,113964.276
4061,B,09,004,0.9881,0.0001907,0.408,93.2291,0.951,1.2753,0.9934,0.7841,189.5859,17674.9205,249.4772,23258.5351,1909.2819,178000.611
4062,B,09,004,0.9881,0.0001907,0.408,92.4077,0.89,1.4456,0.9854,0.6918,192.3941,17778.691,261.6,24173.8503,1720.2474,158964.08
4063,B,09,004,0.9881,0.0001907,0.408,99.8003,0.9124,1.4536,0.9891,0.688,196.2785,19588.6495,258.8724,25835.5459,1820.358,181672.276
4064,B,09,004,0.9881,0.0001907,0.408,80.7712,0.9126,1.3492,0.9975,0.7412,193.3763,15619.226,269.6797,21782.3395,1849.9576,149423.226
4065,B,09,004,0.9881,0.0001907,0.408,87.7531,0.9674,1.0736,0.9884,0.9314,196.3198,17227.6674,266.0374,23345.6037,1883.5101,165283.808
4066,B,09,004,0.9881,0.0001907,0.408,147.4416,0.9342,1.4488,1.0047,0.6902,194.9369,28741.8018,266.1012,39234.3864,1865.6917,275080.565
4067,B,09,004,0.9881,0.0001907,0.408,91.3125,0.8875,1.1561,1.0053,0.865,192.4183,17570.1918,259.8606,23728.5138,1907.4843,174177.123
4068,B,09,004,0.9881,0.0001907,0.408,84.8782,0.7269,2.2619,0.992,0.4421,207.9532,17650.6892,293.9629,24951.0332,1950.2984,165537.758
4069,B,09,004,0.9881,0.0001907,0.408,113.2165,0.9197,1.4374,0.9916,0.6957,206.8428,23418.0239,260.1765,29456.2843,1891.2164,214116.957
4070,B,09,004,0.9881,0.0001907,0.408,145.6619,0.9517,1.2561,0.9935,0.7961,191.8158,27940.2507,254.5132,37072.8679,1826.4135,266038.85
4071,B,09,004,0.9881,0.0001907,0.408,101.7169,0.8883,1.4609,0.9809,0.6845,191.3809,19466.6713,256.4939,26089.7697,1840.4845,187208.386
4072,B,09,004,0.9881,0.0001907,0.408,108.425,0.9228,1.3985,0.9919,0.7151,190.8396,20691.7919,253.5909,27495.5986,1758.1793,190630.619
4073,B,09,004,0.9881,0.0001907,0.408,97.473,0.8679,1.7322,1.0014,0.5773,194.4466,18953.2953,255.4157,24896.1362,1791.5576,174628.483
4074,B,09,004,0.9881,0.0001907,0.408,61.4682,0.9531,1.0722,0.9793,0.9327,190.3408,11699.9081,247.9087,15238.5064,1864.5367,114609.761
4075,B,09,004,0.9881,0.0001907,0.408,114.0379,0.9354,1.4333,1.0006,0.6977,196.3229,22388.2601,258.06,29428.6305,1832.551,208980.321
4076,B,09,004,0.9881,0.0001907,0.408,105.4132,0.9065,1.5493,0.9865,0.6455,196.1987,20681.9351,252.161,26581.1048,1871.9701,197330.382
4077,B,09,004,0.9881,0.0001907,0.408,76.5273,0.8387,1.6645,0.9564,0.6008,192.5385,14734.4396,257.2755,19688.5867,1853.3435,141831.285
4078,B,09,004,0.9881,0.0001907,0.408,86.9317,0.8114,1.9202,0.9687,0.5208,185.9165,16162.0356,240.4205,20900.1541,1783.2157,155017.93
4079,B,09,004,0.9881,0.0001907,0.408,115.9545,0.8884,1.4454,0.9959,0.6919,192.4994,22321.1789,250.3223,29026.0068,1809.8359,209858.674
4080,B,09,004,0.9881,0.0001907,0.408,57.0874,0.9571,1.2217,1.0134,0.8185,191.5659,10936.0046,259.47,14812.4727,1821.1918,103967.133
4081,B,09,004,0.9881,0.0001907,0.408,68.4501,0.9355,1.3269,0.9891,0.7537,197.082,13490.2899,279.544,19134.8251,1922.548,131598.674
4082,B,09,004,0.9881,0.0001907,0.408,147.1678,0.8739,1.6123,0.9858,0.6202,190.0586,27970.5056,252.0047,37086.9687,1743.1953,256542.215
4083,B,09,004,0.9881,0.0001907,0.408,144.7036,0.8685,1.5668,0.9851,0.6383,192.5251,27859.0688,256.0577,37052.4698,1904.7266,275620.774
4084,B,09,004,0.9881,0.0001907,0.408,105.4132,0.8742,1.1317,0.9847,0.8836,197.1987,20787.3483,253.6584,26738.9508,1774.4506,187050.54
4085,B,09,004,0.9881,0.0001907,0.408,92.6815,0.8729,1.6281,1.0015,0.6142,191.9114,17786.6312,257.3338,23850.0812,1932.7149,179126.889
4086,B,09,004,0.9881,0.0001907,0.408,73.6523,0.9433,1.1216,0.9926,0.8916,194.9257,14356.7317,262.6338,19343.598,1772.4015,130541.53
4087,B,09,004,0.9881,0.0001907,0.408,91.1756,0.9097,1.4813,0.9918,0.6751,189.2342,17253.5415,247.3033,22548.0227,1872.3078,170708.755
4088,B,09,004,0.9881,0.0001907,0.408,57.0874,0.9263,1.4755,0.9952,0.6777,201.5468,11505.7835,296.3213,16916.2192,1896.9017,108289.212
4089,B,09,004,0.9881,0.0001907,0.408,132.3826,0.8649,1.2482,0.9842,0.8012,193.1996,25576.2568,264.1996,34975.4189,1724.2958,228266.695
4090,B,09,004,0.9881,0.0001907,0.408,91.997,0.859,1.6479,0.9817,0.6068,194.1756,17863.5691,262.6682,24164.678,1918.686,176513.326
4091,B,09,004,0.9881,0.0001907,0.408,39.4273,0.8556,1.6402,0.9965,0.6097,194.3194,7661.4869,971.0764,38286.8996,1794.191,70740.0678
4092,B,09,004,0.9881,0.0001907,0.408,123.2102,0.9016,1.5475,0.9804,0.6462,196.2,24173.8503,252.5711,31119.3488,1894.7933,233457.954
4093,B,09,004,0.9881,0.0001907,0.408,83.3723,0.9491,1.1482,0.9984,0.8709,190.7504,15903.2941,252.67,21065.6665,1707.4433,142353.422
4094,B,09,004,0.9881,0.0001907,0.408,94.4612,0.8124,1.6219,0.9766,0.6166,195.8841,18503.441,266.2072,25146.253,1771.6754,167354.561
4095,B,09,004,0.9881,0.0001907,0.408,73.3785,0.9616,1.2589,0.9954,0.7944,193.7127,14214.3554,269.4664,19773.0541,1871.1455,137301.939
4096,B,09,004,0.9881,0.0001907,0.408,143.3346,0.875,1.5543,0.9668,0.6434,196.4441,28157.2376,254.0468,36413.6931,1953.2139,279963.113
4097,B,09,004,0.9881,0.0001907,0.408,91.0387,0.9339,1.4167,0.9963,0.7059,190.5729,17349.5086,256.4331,23345.3299,1778.3579,161899.359
4098,B,09,004,0.9881,0.0001907,0.408,134.0254,0.881,1.6481,0.9869,0.6068,189.4106,25385.8285,248.0368,33243.2197,1781.8458,238812.534
4099,B,09,004,0.9881,0.0001907,0.408,84.3306,0.8876,1.5159,0.9927,0.6597,194.1299,16371.0823,259.9692,21923.3467,1904.4399,160602.503
4100,B,09,004,0.9881,0.0001907,0.408,82.414,0.7698,1.2815,0.9341,0.7803,192.0963,15831.4215,256.387,21129.8728,1904.6794,156972.181
4101,B,09,004,0.9881,0.0001907,0.408,99.2527,0.9283,1.3385,0.9925,0.7471,195.2869,19382.7515,258.3021,25637.1774,1825.0731,181143.43
4102,B,09,004,0.9881,0.0001907,0.408,100.8955,0.8632,1.3613,0.9827,0.7346,191.2646,19297.7364,254.0583,25633.3442,1852.4518,186904.057
4103,B,09,004,0.9881,0.0001907,0.408,111.2999,0.856,1.8083,0.9969,0.553,200.7085,22338.8391,261.0836,29058.589,1789.8585,199211.118
4104,B,09,004,0.9881,0.0001907,0.408,100.211,0.9206,1.5594,0.9865,0.6413,197.3279,19774.4231,270.7637,27133.4974,1900.5724,190458.262
4105,B,09,004,0.9881,0.0001907,0.408,101.3062,0.8335,1.8035,0.9946,0.5545,189.3716,19184.5199,254.4014,25772.4348,1895.7068,192046.853
4106,B,09,004,0.9881,0.0001907,0.408,104.4549,0.9397,1.2939,1.0039,0.7729,196.8165,20558.451,254.9672,26632.5793,1717.4233,179393.297
4107,B,09,004,0.9881,0.0001907,0.408,105.687,0.9066,1.4462,0.9785,0.6914,200.4624,21186.2757,262.0479,27695.0623,1871.9832,197844.306
4108,B,09,004,0.9881,0.0001907,0.408,108.425,0.8205,1.7577,0.9682,0.5689,190.7588,20683.0303,254.7285,27618.9457,1791.5909,194253.275
4109,B,09,004,0.9881,0.0001907,0.408,75.8428,0.8921,1.5135,1.0054,0.6607,194.5542,14755.5222,264.2888,20044.3905,1817.8249,137868.843
4110,B,09,004,0.9881,0.0001907,0.408,54.4863,0.9387,1.3611,0.9803,0.7347,188.9497,10295.1744,250.402,13643.4813,1852.2337,100921.376
4111,B,09,004,0.9881,0.0001907,0.408,91.0387,0.8532,1.6965,0.9794,0.5894,190.8902,17378.3946,252.2677,22966.1161,1820.8165,165764.738
4112,B,09,004,0.9881,0.0001907,0.408,80.7712,0.9527,1.153,1.0034,0.8673,192.1746,15522.1637,292.3305,23611.8747,1910.4644,154310.429
4113,B,09,004,0.9881,0.0001907,0.408,91.8601,0.8639,1.7143,0.9904,0.5833,197.3979,18132.9889,264.918,24335.3927,1916.8331,176080.448
4114,B,09,004,0.9881,0.0001907,0.408,79.9498,0.7908,1.817,0.945,0.5504,195.286,15613.0655,273.7312,21884.7409,1839.6182,147077.029
4115,B,09,004,0.9881,0.0001907,0.408,86.6579,0.8447,1.4657,0.9672,0.6822,190.5513,16512.7741,253.248,21945.9353,1846.3633,160001.921
4116,B,09,004,0.9881,0.0001907,0.408,99.6634,0.7948,2.1165,0.9733,0.4725,189.3338,18869.6492,253.0687,25221.685,1888.9038,188254.578
4117,B,09,004,0.9881,0.0001907,0.408,159.215,0.8062,2.0711,0.9781,0.4828,195.0903,31061.3031,265.9888,42349.4152,1778.6028,283180.27
4118,B,09,004,0.9881,0.0001907,0.408,52.9804,0.8504,1.6112,1.0157,0.6207,194.3101,10294.6268,264.2067,13997.7792,1818.5013,96344.9367
4119,B,09,004,0.9881,0.0001907,0.408,87.3424,0.8068,1.8133,0.974,0.5515,188.9185,16500.59,251.9749,22008.088,1830.5909,159888.157
